"Response","Question.Tag","Seven.Vital.Conditions","Sub.Condition","Tags","Location","Date","Facilitator","Note.Taker","AssignedCondition"
"great support amongst residents and corporations","Best part of living here?","Health & Safety (H&S)","B&CM-Social Support","","Fox Cities Greenways",2019-05-29,"","","Belonging & Civic Muscle (B&CM)"
"guaranteed living wages","Ideas for Innovation","Work & Financial Health (W&FH)","B&CM-Social Support","","Community Conversation Brigade",2019-05-08,"","","Belonging & Civic Muscle (B&CM)"
"happy","""Well Being"" brings to mind?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"homeless","Vulnerable groups in community?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Kaleidescope Academy Students",2019-06-04,"","","Belonging & Civic Muscle (B&CM)"
"how the community comes together in a crisis","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Community Conversation Brigade",2019-05-08,"","","Belonging & Civic Muscle (B&CM)"
"ideas from europe like community hubs libraries as hubs","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Pop Earth",2019-06-20,"","","Belonging & Civic Muscle (B&CM)"
"immigrants","Vulnerable groups in community?","Not Marked","B&CM-Social Support","","Leaven",2019-05-22,"","","Belonging & Civic Muscle (B&CM)"
"incentivize turning away from social media","Ideas for Innovation","Health & Safety (H&S)","B&CM-Social Support","","Leaven",2019-05-22,"","","Belonging & Civic Muscle (B&CM)"
"interactions with other people","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Boys & GirlsClub",2019-06-14,"","","Belonging & Civic Muscle (B&CM)"
"kids are more accepting of others right now","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Community Conversation Brigade",2019-05-08,"","","Belonging & Civic Muscle (B&CM)"
"kids are more pressured to be involved in everything","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Community Conversation Brigade",2019-05-08,"","","Belonging & Civic Muscle (B&CM)"
"kids have a lack of belonging high level of isolation","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Fox Cities Greenways",2019-05-29,"","","Belonging & Civic Muscle (B&CM)"
"kids of multi parent working families difficult to participate in extracurriculars","Vulnerable groups in community?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Historic Neighborhood Recorder",2019-06-15,"","","Belonging & Civic Muscle (B&CM)"
"lack of affordable available child care","Barriers to community well-being?","Work & Financial Health (W&FH)","B&CM-Social Support","child care","CCRR",2019-06-06,"","","Belonging & Civic Muscle (B&CM)"
"lack of face to face social connections","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","CCRR",2019-06-06,"","","Belonging & Civic Muscle (B&CM)"
"less millennials lack of work ethic","Are we trending up or down?","Work & Financial Health (W&FH)","B&CM-Social Support","","North Shore",2019-05-13,"","","Belonging & Civic Muscle (B&CM)"
"less we need to give program with more challenging hands on program like how to budget raise a family visit a country outside of us to experience life for two weeks a real life experience seem like we are behind in education other country tends to be much higher now we need to prepare our children starting middle schools and high so they can be ready in college and after use really life experience have them open their own account and use it during the course of study like japan all students help clean their school many hmong with a degree move out of town for better job position we need to teach our children at a young age to work hard and respectful so when they grow they carry that on","Are we trending up or down?","Not Marked","B&CM-Social Support","","Long Cheng Market",2019-06-23,"","","Belonging & Civic Muscle (B&CM)"
"less younger generations has less ties to the community more mobile","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","North Shore",2019-05-13,"","","Belonging & Civic Muscle (B&CM)"
"lgbt","Vulnerable groups in community?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Kaleidescope Academy Students",2019-06-04,"","","Belonging & Civic Muscle (B&CM)"
"loved","""Well Being"" brings to mind?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"low income","Vulnerable groups in community?","Not Marked","B&CM-Social Support","","Leaven",2019-05-22,"","","Belonging & Civic Muscle (B&CM)"
"low income","Vulnerable groups in community?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Kaleidescope Academy Students",2019-06-04,"","","Belonging & Civic Muscle (B&CM)"
"mid west family values work ethic","Best part of living here?","Healthy Environment (HE)","B&CM-Social Support","","Community Conversation Brigade",2019-05-08,"","","Belonging & Civic Muscle (B&CM)"
"mixed want to be optimistic but not hopeful","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"more good friends","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Boys & GirlsClub",2019-06-14,"","","Belonging & Civic Muscle (B&CM)"
"negative environment","Vulnerable groups in community?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","United Way Youth Board",2019-05-12,"","","Belonging & Civic Muscle (B&CM)"
"neighbors are too disconnected from one another","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","CCRR",2019-06-06,"","","Belonging & Civic Muscle (B&CM)"
"nice place to raise a family","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Leaven",2019-05-22,"","","Belonging & Civic Muscle (B&CM)"
"opportunities to meet more people","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","United Way Youth Board",2019-05-06,"","","Belonging & Civic Muscle (B&CM)"
"passion and pride investing back in the community","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"people feel good about this area","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Leaven",2019-05-22,"","","Belonging & Civic Muscle (B&CM)"
"people need to step up and help themselves","Are we trending up or down?","Not Marked","B&CM-Social Support","bootstraps","Kaleidescope Academy Students",2019-06-04,"","","Belonging & Civic Muscle (B&CM)"
"people think they have problems so many people have problems","Barriers to community well-being?","Health & Safety (H&S)","B&CM-Social Support","","United Way Youth Board",2019-04-23,"","","Belonging & Civic Muscle (B&CM)"
"quote every one of us is both a mentor and being mentored","Summary","Lifelong Learning (LL)","B&CM-Social Support","","Brookdale Assisted Living Ceter",2019-06-15,"","","Belonging & Civic Muscle (B&CM)"
"re entry for formerly incarcerated people difficult","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","CCRR",2019-06-06,"","","Belonging & Civic Muscle (B&CM)"
"refugees","Vulnerable groups in community?","Not Marked","B&CM-Social Support","","Leaven",2019-05-22,"","","Belonging & Civic Muscle (B&CM)"
"senior citizens","Vulnerable groups in community?","Not Marked","B&CM-Social Support","","Leaven",2019-05-22,"","","Belonging & Civic Muscle (B&CM)"
"seniors have high level of isolation 50","Barriers to community well-being?","Work & Financial Health (W&FH)","B&CM-Social Support","","Fox Cities Greenways",2019-05-29,"","","Belonging & Civic Muscle (B&CM)"
"sense of community","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Community Conversation Brigade",2019-05-08,"","","Belonging & Civic Muscle (B&CM)"
"services are available bun need to break the cycle","Vulnerable groups in community?","Not Marked","B&CM-Social Support","","Leaven",2019-05-22,"","","Belonging & Civic Muscle (B&CM)"
"single parent families","Vulnerable groups in community?","Work & Financial Health (W&FH)","B&CM-Social Support","","Community Conversation Brigade",2019-05-08,"","","Belonging & Civic Muscle (B&CM)"
"single parents","Vulnerable groups in community?","Not Marked","B&CM-Social Support","","Leaven",2019-05-22,"","","Belonging & Civic Muscle (B&CM)"
"single parents","Vulnerable groups in community?","Health & Safety (H&S)","B&CM-Social Support","","Kaleidescope Academy Students",2019-06-04,"","","Belonging & Civic Muscle (B&CM)"
"social connectedness for people with autism","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Autism Society",2019-07-09,"","","Belonging & Civic Muscle (B&CM)"
"social isolation lack of connectedness","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Pop Earth",2019-06-20,"","","Belonging & Civic Muscle (B&CM)"
"social media","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"social media","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","social media","Kaleidescope Academy Students",2019-06-04,"","","Belonging & Civic Muscle (B&CM)"
"social skills are declining more isolation hand held technology getting in the way","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Historic Neighborhood Recorder",2019-06-15,"","","Belonging & Civic Muscle (B&CM)"
"social system migrate in for easy access to social services","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","North Shore",2019-05-13,"","","Belonging & Civic Muscle (B&CM)"
"socially connected community","Best part of living here?","Not Marked","B&CM-Social Support","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"socially isolated","Vulnerable groups in community?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Pop Earth",2019-06-20,"","","Belonging & Civic Muscle (B&CM)"
"strong sense of community","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"suffering from mental illness","Vulnerable groups in community?","Not Marked","B&CM-Social Support","","Leaven",2019-05-22,"","","Belonging & Civic Muscle (B&CM)"
"supported","""Well Being"" brings to mind?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"technology screen time is breeding too much isolation","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","CCRR",2019-06-06,"","","Belonging & Civic Muscle (B&CM)"
"the young","Vulnerable groups in community?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Historic Neighborhood Recorder",2019-06-15,"","","Belonging & Civic Muscle (B&CM)"
"there are services available for children on the spectrum of autism but as they become adults or are diagnosed as adults there are far fewer services and it becomes difficult for them to lead productive lives and experience well being","Summary","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Autism Society",2019-07-09,"","","Belonging & Civic Muscle (B&CM)"
"those who don t have family friend support","Vulnerable groups in community?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"trending down because of lack of connectedness","Are we trending up or down?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Pop Earth",2019-06-20,"","","Belonging & Civic Muscle (B&CM)"
"trending down due to social media and technology the desire to succeed has diminished","Are we trending up or down?","Healthy Environment (HE)","B&CM-Social Support","","Community Conversation Brigade",2019-05-08,"","","Belonging & Civic Muscle (B&CM)"
"unemployed people","Vulnerable groups in community?","Work & Financial Health (W&FH)","B&CM-Social Support","","Kaleidescope Academy Students",2019-06-04,"","","Belonging & Civic Muscle (B&CM)"
"veterans","Vulnerable groups in community?","Not Marked","B&CM-Social Support","","Leaven",2019-05-22,"","","Belonging & Civic Muscle (B&CM)"
"veterans","Vulnerable groups in community?","Health & Safety (H&S)","B&CM-Social Support","","Brookdale Assisted Living Ceter",2019-06-15,"","","Belonging & Civic Muscle (B&CM)"
"we take care of each other","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"welcoming center welcoming people moving in from other areas have someone there that knows a lot about what is available is the fox cities","Ideas for Innovation","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"well connected","""Well Being"" brings to mind?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"wi nice approachability and friendliness","Best part of living here?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Unknown",NA,"","","Belonging & Civic Muscle (B&CM)"
"youth","Vulnerable groups in community?","Belonging & Civic Muscle (B&CM)","B&CM-Social Support","","Kaleidescope Academy Students",2019-06-04,"","","Belonging & Civic Muscle (B&CM)"
